number,name,5-U,6-U,7-U,8-U,uriage,5-E,6-E,7-E,8-E,eigyourieki,5-K,6-K,7-K,8-K,keijyourieki,5-T,6-T,7-T,8-T,toukijyunnrieki
82,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
83,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
84,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
85,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
86,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
87,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
88,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
89,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
90,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
91,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
92,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
93,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
94,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
95,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
96,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
97,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
98,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
99,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
100,,0,"126,884","78,552","57,083","262,519",0,735,1881,302,2918,0,"1,128","1,851",629,"3,608",0,710,1029,298,2037
